username,full_text
shinewithmoa14,sumpah gaji guru emang sedikit ya apa swasta biasa gitu tempat umr 51 juta gaji guru honorer 800 ribu
Unknownxxx93,tertawa cara naik gaji jabat hahahahah apakabar gaji guru honorer tertawa
hkmbcz,heran sama masih ngerendahin guru honorer padahal mereka tau guru honorer gaji sedikit masih ikhlas ridho sepenuh hati ngajar anak murid loh semangat semua bapak ibu guru honorer
hkmbcz,wahai hakim mk tugas kalian mk dapat gaji bulan malu kalian guru honorer tugas kalian untuk dapat kaya jangan para koruptor jadi kalian wakil tuhan tegak adil
jsnsvsusiksddbn,abah guru honorer di smp 2008 gasalah beliau guru honorer memang bikin sakit hati banget tiap lihat gaji masuk rekening bayar tiga bulan sekali tiap tahun ada program bulat bikin pusing gaji berapa tuntut main
IAbogeng29340,kalau asn sekarang asn guru ribet guru honorer mah kesi kamu bayangin kuliah mahal s1 gaji 300 800 ribu bulan jobdesk sama bahkan lebih banyak asn beban moral masyarakat orang tua siswa banyak banding sama buruh lulus sma gaji umr protes percuma
tohaulia,turut hapus profesi guru honorer jenis profesi guru honorer sama sekali manusiawi segi gaji bikin atur minimal gaji guru umk deh syarat rekrutmen perlu perhati jangan baru lulus sma suruh ngajar
hateverybodyy,sungguh urgent sekali masalah seragam kurang urgent adalah lengkap sarana prasarana sekolah tambah gaji guru honorer layak baik sekolah yang bocor bahkan mau roboh
viajesry,duit rakyat dipake padahal bayar gaji thr guru honorer subsidi rakyat mampu baik gedung sekolah bayarin keluarga mampu sakit keras lain ya duit rakyat untuk rakyat malah penting pribadi golong
1984Gobul,guru honorer gaji 300 ribu ada laku aksi sampah begini
adeaahmad_a,guru nyaman angkat pns sekarang pppk sedangakan guru honorer gaji gantung sekolah kota yang nyentuh 15 juta desa beda di desa gaji guru nyentuh 600 ribu sudah bagus ntah uang bos spp apa itu
vaabulous_,fakta sender mama ku guru honorer gaji bulan cuma 150 ribu 200 ribu itu kadang bayar
ScFreed0m,gaji guru honorer 3 bulan nih kakak
jevouiz,fatkanya semua gaji guru tinggi banyak rendah apa honorer
cunilcomel,gaji asn 2 3 juta ukt 20 30 juta gimana mau kuliahin anak apa yang cuma guru
jubBraann,guru honorer guru boleh gaji 300 ribu bulan
daredefvil,guru honorer sudah lama resign masih mikir-mikir butuh biaya sekarang jadi guru enak kerja berat gaji ikhlas bahkan teman guru bilang anak jangan jadi guru rencana resign adik lulus sekolah tempat
kj_enthusiast,indonesia guru sd status honorer gaji umr
fakedukseon,banyak gelar spd mau guru mau pns sekarang p3k susah pns anak kuliah dapet ukt golong tinggi honorer beban kerja sama gaji tidak sesuai
boo_minghao_o,gaji guru dosen kan dah banyak banget usah cari masalah sama menteri apa keluarga
Mly17128177,guru honorer tanggung gaji kecil nekat ngaku-ngaku dosen calon mertua untung terima tetap ngenes gaji ngajar tak buat bekal rumah tangga
yosep_far,potret guru sd indonesia cc guru honorer tanggung gaji kecil nekat ngaku-ngaku dosen calon mertua untung terima tetap ngenes gaji ngajar tak buat bekal rumah tangga
cuttiepies_,itu kan jelas tsnya nulis perintah naikin gaji guru arti pns swasta wajib perintah yayasan honorer kan pegawai tetap kalau mau salahin salahin tsnya spesifik maksud
prplbtss,tes cpns susah batas usia aduh susah ngomong sama model begini gws deh moga situ ngerasain guru honorer anak saja deh yang jadi guru honorer biar tau jadi guru honorer gaji berapa selalu nyinyir orang minim kaya
snowiesh,sender tau biar dapet gaji bisa beli mobil guru jungkir balik ikut sertifikasi bagai bagai segmn susah fakta memang gaji guru banding sama beban kerja bom honorer
yourflowerhanna,kau tau gaji guru honorer kan lebih baik diam
veypranne,sender mungkin asn guru punya mobil rumah kamu tau hidup asli gimana saja rumah mobil dari nabung hasil luar gaji tunjang asn lagi yang nama guru honorer yang gaji gantung mood kepala sosial
litaaja,lebih banyak gaji guru honorer bulan
kaazellika_,jawab sama mf sendiri sih sender asn mau gaji jamin masalah asn tidak mudah dan banyak guru kan memang honorer ya
sparkloeeey,usah denial gaji guru memang rendah asn tau asn sulit gimana apa sekarang maksimal usia buat daftar maksimal 35 bayangin usia atas dan honorer usah padahal padahal kalau tau fakta lapang
Lhopitals_,beneran tahu apa mah mancing emosi bagai lulus jurus didik isu soal gaji guru rendah selalu topik diskusi karna guru honorer gaji bayar bulan bulan kamu maen bang pelosok bang tanyain coba gaji guru situ aman tidak
wooaffi,nakes guru honorer gaji ada
jichening,urus dulu gaji guru honorer tidak ngotak mau apa ivan gunawan tri ngurusin baju
NHiyyihlight,gaji guru honorer tiap bulan bisa cuma 1 8 nya dah
wanmesin,ya lihat urgensi anggar besar sangat tepat untuk hal sebut lihat banyak sekolah layak fasilitas utama daerah2 pelosok tambah gaji guru honorer sangat tidak manusiawi 300 ribu pun kena rapel
daegbyu,gimana tapi memang nyata banyak gaji guru honorer rendah
hehe_ajadulu,pandang cuma guru honorer sih jujur memang iya sih gaji guru belum asn tuh jangan hidup keluarga diri sendiri kadang cukup daftar asn saing bejibun syarat tidak mudah alias susah banget
Wassup123p,1 gaji guru honorer iya gaji guru honorer sedikit liat 150000 bahkan lebih banyak guru honorer sekolah domisili dapet 128000 gila saja iya ada ternyat yang dapet gin
scaranauva,guru honorer dia rendahin banyak anak baca nulis ngitung kerja mulia kaya gitu bisa ya bina memang gaji guru honorer rendah bukan salah guru salah sistemasi perintah yang kurang appreciate guru honorer
aouwwdee_,aneh banget gaji guru nakes honorer engap-engapan malah ngasih wakil tidak wakil rakyat uang pensiun umur hidup bener ngabisin anggar negara
y00ngirlll,guru baru tau apa mungkin guru honorer karena tau sendiri indonesia guru honorer gaji 3 bulan sekali tidak salah turunya
kyungsooro,allah padahal banyak guru honorer jauh lebih derita guru influencer mbok anggar pakai naikin gaji guru honorer acara begini 
Choose_anoy,memang rendah dulu sempat honorer ajar bahasa inggris smp 2012 jam 8 ribu alhamdulillah bulan 200 ribu lebih banyak gaji saya dari ajar primagama bulan 18 2 juta sering gantiin guru hadir
batas_ambang,siapa sih ngasih gaji guru honorer kecil
najaejae141402,ajak jadi tajir pls gaji guru honorer benar cekik
ongesaranghae,banding guru asn sama honorer jauh banget jumlah sender memang nerima fakta gaji guru honorer tuh worth dan banding sama biaya kuliah didik
__sasotya,bukan passion emang ngincer materi jangan ambil hitung 44 juta 8 352 juta gaji guru honorer sd swasta 1 5 juta biasa kota 352 15 234 bulan baru balik modal ukt doang kurleb 19 kayak nyicil kpr bom ngitung uang makan kos dana
2ndepiphyllum_,banding berapa berapa nih guru asn sama guru masih honorer nyata luar apa di pelosok guru masih underpaid banget gaji bawah juta tunjang bahkan gaji 13 semua guru sejahtera
MeungjiRoot,padahal anggar event nya buat gaji guru honorer 1
empingcoklat,gaji guru asn tunjang sertifikasi sangat hasil kurang mungkin yang status honorer status honorer memang polemik sudah larang sejak lama perintah pusat diada-adakan perintah daerah
aderr_,dalam tahun kerja narik gerobak sampah gaji lebih gede gaji honorer guru
Ruddytabooty69,guru honorer tanggung totalitas serius ngajar meski gaji sampai rupiah 500 ribu malah musuh anggap bikin repot guru gaji lebih tapi niat ngajar
strongwolfie,serendah itu guru sd sender mau sd smp sma guru tetap guru sekolah negeri sekarang tidak terima honorer gaji asn guru sama mau sd smp sma
ayayayaida,coba lebih banyak lihat dunia sender jangan sosmed mulu bukan dar stigma nyata gaji guru honorer 300 ribu bulan masih kalau guru punya rumah punya mobil coba benar cek darimana dapetnya dana bos bisnis duit pasang duit tua waris gaji
bebas_l,kaget anggota dprd sih enggak terlalu kasi hasil tunjuangan gede pake rusak gedung bangun pakai pajak rakyat gimana guru honorer gaji minim ada thr hati pikir di mana sih anggota dewan kata hormat amit
viorisolmayo,betul sumpah gaji guru honorer sekolah tuh serendah asli makan harus naik gaji guru sendiri hanya didik itu dulu
deeep_seaaaa,mau beli mobil apa coba gaji segitu misal ketemu guru honorer kaya raya punya mobil mungkin memang asal keluarga kaya dia punya usaha kerja dengan gaji gede
haneul_o_o,gaji sudah sertifikasi sekolah bom sertif saya syukur kerja gaji memang paling kasihan guru honorer gaji mampu sekolah bulan 500 ribu dah tinggi tiap 3 bulan insentif pemda tetap saja beban ngajar sama gaji beda
haneul_o_o,gaji guru honorer 500 ribu bulan ngurusin 28 anak 6 24 minggu
_inisiapaa,gaji guru honorer memang sedikit banget anjir fakta lapang kakak honorer paling bulan cuma 400-500
StarRabbit15,kurikulum ada sekarang diterapin benar tuh hasil bagus cuma jadi bagus soal bare minimum penuh fasilitas gaji guru honorer timpang jumlah siswa guru
songparksoe,tolong gaji guru honorer beri perhati lebih yang cerdas anak bangsa
hii_dudeew,kata yang turun muara enim bukit asam gede gitu pltu tapi sering mati lampu mau apa aspek didik sodara guru honorer kota prabumulih hasil minyak gaji 300 ribu bulan pupuk sulit tani karet sawit mau contoh apa
Cungkri46356457,naik gaji guru honorer thr jangan tunda tunda
lzyjj,perangah lihat gaji guru honorer yang 250 ribu bulan allah rabbi
imstrhmwt,suka kasihan lihat guru honorer indonesia gaji nya berapa kadang bayar bayar padahal punya keluarga harus di kasih nafkah
