username,full_text
jsnsvsusiksddbn,tempat malah gaji guru honorer sampe 800 ribu mentok paling banyak 600 ribu bulan mana kerja bawa pulang alias lembur rumah ada duit lembur
IAbogeng29340,kalok guru pns sih oke honorer kasihan hampir jarang tidur gaji berapa bahkan sedikit yang telat gaji sangat sayang ini gaji guru di sama jangan beda honorer pns
tohaulia,kalau honorer mah sender berapa komenan ttg gaji murah guru terus cengcengin ken injek pala
hateverybodyy,ngoceh base mending buka google cari data gaji rata guru indonesia sama cari banding jumlah guru asn guru honorer fg jurus guru indonesia coba lihat senjang maaf soal sejahtera guru salty banget emang nyata kecil banget
viajesry,kan asn luar masih banyak guru honorer pula memang fakta sih gaji guru rendah
1984Gobul,guru profesi sangat hindar siswa-siswi pintar indonesia masa depan gelap sistem gaji honorer
adeaahmad_a,cuma indonesia guru honorer sender gaji layak sebut gaji lebih banyak jumlah banding guru pns tidak heran tidak banyak mau
vaabulous_,fakta gaji guru memang rendah terus semua guru status asn banyak honorer asn guru tidak semua tpg
ScFreed0m,memang fakta semua dapet tunjang semua punya mobil 2 jadi honorer yang aku beli cuman makan guru dibutuhin diludahin gaji tidak sesuai tanggung
jevouiz,ngomong gaji guru rendah karna sebenernya peduli atas adil profesi guru sangat miris indonesia malah aneh singgung arti tidak care ya cuma fokus asn yang jumlah lebih banyak guru honorer
cunilcomel,semua guru asn catet teman juga guru honorer kasi lihat slip gaji gede gaji art mana gaji cuma bensin doang ya indonesia tuh guru apresiasi gaji padan
jubBraann,sender gatau gaji guru honorer
daredefvil,fakta gaji guru honorer mostly memang dikit apa ngajar sekolah negeri banting banget liat banyak guru yang angkat pns nyekolahin sertifikasi beli mobil rumah lain
kj_enthusiast,hai sender orang guru honorer aku mau bilang tidak semua guru punya tunjang profesi asn jumlah guru honorer indonesia bisa bilang besar wajar stigma gaji rendah lekat
fakedukseon,tertawa diskursus gaji guru honorer vs asn nyaris tiap bulan sudah kaya diskursus soal tom vs summer split bill pas first meet sender misal tarik bahas profesi guru sila dm yes jelasin bingung
boo_minghao_o,beneran tahu apa mah mancing emosi bagai lulus jurus didik isu soal gaji guru rendah selalu topik diskusi karna guru honorer gaji bayar bulan bulan kamu maen bang pelosok bang tanyain coba gaji guru situ aman tidak
Mly17128177,soal guru ada 3 kategori eh 1 guru honorer gaji sesuai mampu sekolah 2 guru pns p3k tidak punya serdik cuma gaji pokok doang 3 guru pns p3k punya serdik yang sejahtera guru kategori 3 dia gaji pokok tpg
