"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786323068669100485","Fri May 03 09:13:02 +0000 2024","1","Setuju... duit aja gk ada yg mau dikelola apa?? Gaji guru p3k 3jtan di jateng pns tergantung golongan tapi sekelas kepala sekolah aja mentok 5jtan apalgi guru di bawahnya... apalagi honorer.","1786323068669100485","","","in","in the sky 🌬","0","0","0","https://twitter.com/yogaaryow/status/1786323068669100485","364297024","yogaaryow"
"1786194043044769810","Fri May 03 09:11:21 +0000 2024","2","@massmassbiassa @ardisatriawan @mchiell Dan gak usah ngomong gaji 20 juta dulu deh kejauhan! noh pemerintah aja sampe sekarang ngebiarin sekolah sekolah kekurangan guru sampe harus mempekerjakan guru honorer dengan gaji yang jauh dari kata manusiawi ","1786322646424273388","","achaziraa","in","","0","1","0","https://twitter.com/achaziraa/status/1786322646424273388","1266509107202146305","achaziraa"
"1786322492232958185","Fri May 03 09:10:45 +0000 2024","0","Kadikbud Maluku Utara Janji Tetap Perjuangkan Gaji Guru Honorer yang Belum Dibayar https://t.co/03GsfjRVzm","1786322492232958185","","","in","Ternate","0","0","0","https://twitter.com/Tribun_Ternate/status/1786322492232958185","1667089665554513921","Tribun_Ternate"
"1786317292785295592","Fri May 03 08:50:05 +0000 2024","8","Ngapain maksa jadi buzzerp si gaji segitu mending gojek aja lebih banyak dapetnya atau masih banyak kerjaan lainnya yg lebih menghasilkan. Mau di bilang goblok tapi buzzerp mau dibilang goblok tapi beneran goblok.","1786317292785295592","","","in","Ngadirojo, Indonesia","0","2","0","https://twitter.com/dariguruhonorer/status/1786317292785295592","563795565","dariguruhonorer"
"1786315200402260263","Fri May 03 08:41:46 +0000 2024","0","Kadikbud Maluku Utara Janji Tetap Perjuangkan Gaji Guru Honorer yang Belum Dibayar https://t.co/03GsfjStoU","1786315200402260263","","","in","Ternate","0","0","0","https://twitter.com/Tribun_Ternate/status/1786315200402260263","1667089665554513921","Tribun_Ternate"
"1786194043044769810","Fri May 03 07:39:38 +0000 2024","6","@zevratycos @dariguruhonorer @ardisatriawan Lu tau kenapa banyak guru honorer? Karna mereka gak diangkat jadi guru tetap karna sekolah gak mampu bayar gaji mereka tapi sekolah butuh tenaga mereka. Sedangkan negara gak ngangkat mereka jadi guru pns. Gak seharusnya negara memperlakukan guru begitu. Sampai sini paham?","1786299563722318099","","zevratycos","in","","0","1","0","https://twitter.com/supersabroman10/status/1786299563722318099","918447352012161025","supersabroman10"
"1786194043044769810","Fri May 03 07:30:54 +0000 2024","0","@sehaticurhati @ardisatriawan Gak sesimpel itu Boruto. Banyak guru honorer yg diterima karena faktor orang dalam dan karena gurunya udah banyak dia gak kebagian ngajar. Akhirnya ada yg cuma jd staff perpustakaan dan duduk2 doang kerjaannya. Ngarep gaji tinggi?","1786297363960943005","","sehaticurhati","in","","0","1","0","https://twitter.com/Pret2310/status/1786297363960943005","1552131731578245120","Pret2310"
"1786194043044769810","Fri May 03 06:37:00 +0000 2024","0","@dariguruhonorer @ardisatriawan Ngapain maksa jadi guru honorer si gaji segitu mending gojek aja lebih banyak dapetnya atau masih banyak kerjaan lainnya yg lebih menghasilkan. Mau di bilang goblok tapi guru mau dibilang pinter tapi goblok.","1786283802953990173","","dariguruhonorer","in","Menteng, Indonesia","4","5","0","https://twitter.com/zevratycos/status/1786283802953990173","1371458044857520132","zevratycos"
"1786194043044769810","Fri May 03 06:36:50 +0000 2024","0","@ardisatriawan Menurutku hapuskan profesi guru honorer dan sejenisnya aja. Profesi guru honorer itu sama sekali tdk manusiawi dari segi gajiii. Atau bikin aturan minimal gaji guru UMK deh. Dengan syarat rekrutmennya jg perlu diperhatikan. Jgn baru lulus SMA suruh ngajar.","1786283758624354670","","ardisatriawan","in","cek tab like ♥️","0","1","0","https://twitter.com/Lidyamuu/status/1786283758624354670","1547866620491866113","Lidyamuu"
"1786194043044769810","Fri May 03 06:14:17 +0000 2024","0","@ardisatriawan guru honorer gaji 300rb buat 3 bulan ngajar. ahli finansial mana yang bisa ngatur?","1786278083160678420","","ardisatriawan","in","Yogyakarta","0","0","0","https://twitter.com/aziima27/status/1786278083160678420","98332782","aziima27"
"1786269961125769405","Fri May 03 05:42:00 +0000 2024","18","Betullll sumpah gaji guru honorer di sekolah2 tuh serendah itu asli makannya yang harusnya dinaikkan gajinya ya guru itu sendiri bukan hanya pendidikan ini itu dulu","1786269961125769405","","","in","Soul King Palace","0","4","2","https://twitter.com/Raden__Ontoseno/status/1786269961125769405","1286947431490363392","Raden__Ontoseno"
"1786194043044769810","Fri May 03 04:51:00 +0000 2024","4","@mchiell @ardisatriawan TAU KAN DR DULU MASALAH GURU ADALAH GAJI KECIL APLG YG MASIH HONORER. MASAK GINI AJA HARUS DIKASIH TAU. MAU EDUKASI LITERASI KEUANGAN KAYAK APA JG KALAU GAJI KECIL YA GAK MEMPAN TTP KURANG. Emosi jadinya...","1786257124546560489","","mchiell","in","","0","1","0","https://twitter.com/_sleepwalk1ng_/status/1786257124546560489","1368409896257908736","_sleepwalk1ng_"
"1786067016220381296","Fri May 03 04:49:30 +0000 2024","0","@JeblukAkun Belom di lantik dan ukt tinggi rerata anak pegawai seperti guru. Daridulu masalag tetep sama aja. Rerata korban ukt tinggi anak guru entah honorer atau pns. Karena kampus mandang guru gaji gede. Padahal nyatanya di bwah 3jt. Ini udah lama banget walau sebelum jaman jkw","1786256749105955212","","JeblukAkun","in","Malang, Jawa Timur","0","0","0","https://twitter.com/gabus_boy/status/1786256749105955212","1178939594487631873","gabus_boy"
